,2,4,6,8,10,12,14,16,18,20,4/2,4/6,4/8,6/8,8/4,8/6,double,quadruple,sextuple,pi,chi
0,4,58,121,161,57,15,1,0,0,0,0,1,1,9,0,12,11,0,2,4,0
1,489,2842,1046,3198,143,143,1,1,0,0,0,4,3,3,17,6,202,57,48,66,3
2,1703,4535,1797,2901,126,1386,6,20,1,0,3,0,5,0,145,0,424,115,59,46,38
3,3267,3671,1395,3116,149,1160,10,35,2,2,3,1,7,0,232,0,414,79,22,25,15
